Date,VNINDEX
05/10/2023,1057.26
05/09/2023,1055.03
05/08/2023,1053.44
05/05/2023,1040.31
05/04/2023,1040.61
04/28/2023,1049.12
04/27/2023,1039.63
04/26/2023,1040.80
04/25/2023,1034.85
04/24/2023,1041.36
04/21/2023,1042.91
04/20/2023,1049.25
04/19/2023,1048.98
04/18/2023,1055.02
04/17/2023,1053.81
04/14/2023,1052.89
04/13/2023,1064.30
04/12/2023,1069.45
04/11/2023,1069.46
04/10/2023,1065.35
04/07/2023,1069.71
04/06/2023,1070.91
04/05/2023,1080.86
04/04/2023,1078.45
04/03/2023,1079.28
03/31/2023,1064.64
03/30/2023,1059.44
03/29/2023,1056.33
03/28/2023,1054.29
03/27/2023,1052.25
03/24/2023,1046.79
03/23/2023,1045.10
03/22/2023,1040.54
03/21/2023,1032.43
03/20/2023,1023.10
03/17/2023,1045.14
03/16/2023,1047.40
03/15/2023,1062.19
03/14/2023,1040.13
03/13/2023,1052.80
03/10/2023,1053.00
03/09/2023,1055.95
03/08/2023,1049.18
03/07/2023,1037.84
03/06/2023,1027.18
03/03/2023,1024.77
03/02/2023,1037.61
03/01/2023,1040.55
02/28/2023,1024.68
02/27/2023,1021.25
02/24/2023,1039.56
02/23/2023,1053.66
02/22/2023,1054.28
02/21/2023,1082.23
02/20/2023,1086.69
02/17/2023,1059.31
02/16/2023,1058.29
02/15/2023,1048.20
02/14/2023,1038.64
02/13/2023,1043.70
02/10/2023,1055.30
02/09/2023,1064.03
02/08/2023,1072.22
02/07/2023,1065.84
02/06/2023,1089.29
02/03/2023,1077.15
02/02/2023,1077.59
02/01/2023,1075.97
01/31/2023,1111.18
01/30/2023,1102.57
01/27/2023,1117.10
01/19/2023,1108.08
01/18/2023,1098.28
01/17/2023,1088.29
01/16/2023,1066.68
01/13/2023,1060.17
01/12/2023,1056.39
01/11/2023,1055.76
01/10/2023,1053.35
01/09/2023,1054.21
01/06/2023,1051.44
01/05/2023,1055.82
01/04/2023,1046.35
01/03/2023,1043.90
12/30/2022,1007.09
12/29/2022,1009.29
12/28/2022,1015.66
12/27/2022,1004.57
12/26/2022,985.21
12/23/2022,1020.34
12/22/2022,1022.61
12/21/2022,1018.88
12/20/2022,1023.13
12/19/2022,1038.40
12/16/2022,1052.48
12/15/2022,1055.32
12/14/2022,1050.43
12/13/2022,1047.45
12/12/2022,1032.07
12/09/2022,1051.81
12/08/2022,1050.53
12/07/2022,1041.02
12/06/2022,1048.69
12/05/2022,1093.67
12/02/2022,1080.01
12/01/2022,1036.28
11/30/2022,1048.42
11/29/2022,1032.16
11/28/2022,1005.69
11/25/2022,971.46
11/24/2022,947.71
11/23/2022,946.00
11/22/2022,952.12
11/21/2022,960.65
11/18/2022,969.33
11/17/2022,969.26
11/16/2022,942.90
11/15/2022,911.90
11/14/2022,941.04
11/11/2022,954.53
11/10/2022,947.24
11/09/2022,985.59
11/08/2022,981.65
11/07/2022,975.19
11/04/2022,997.15
11/03/2022,1019.81
11/02/2022,1023.19
11/01/2022,1033.75
10/31/2022,1027.94
10/28/2022,1027.36
10/27/2022,1028.01
10/26/2022,993.36
10/25/2022,997.70
10/24/2022,986.15
10/21/2022,1019.82
10/20/2022,1058.45
10/19/2022,1060.07
10/18/2022,1063.66
10/17/2022,1051.58
10/14/2022,1061.85
10/13/2022,1050.99
10/12/2022,1034.81
10/11/2022,1006.20
10/10/2022,1042.48
10/07/2022,1035.91
10/06/2022,1074.52
10/05/2022,1104.26
10/04/2022,1078.14
10/03/2022,1086.44
09/30/2022,1132.11
09/29/2022,1126.07
09/28/2022,1143.62
09/27/2022,1166.54
09/26/2022,1174.35
09/23/2022,1203.28
09/22/2022,1214.70
09/21/2022,1210.55
09/20/2022,1218.93
09/19/2022,1205.43
09/16/2022,1234.03
09/15/2022,1245.66
09/14/2022,1240.77
09/13/2022,1248.40
09/12/2022,1249.62
09/09/2022,1248.78
09/08/2022,1234.60
09/07/2022,1243.17
09/06/2022,1277.40
09/05/2022,1277.35
08/31/2022,1280.51
08/30/2022,1279.39
08/29/2022,1270.80
08/26/2022,1282.57
08/25/2022,1288.88
08/24/2022,1277.16
08/23/2022,1270.81
08/22/2022,1260.43
08/19/2022,1269.18
08/18/2022,1273.66
08/17/2022,1275.28
08/16/2022,1274.69
08/15/2022,1274.20
08/12/2022,1262.33
08/11/2022,1252.07
08/10/2022,1256.50
08/09/2022,1258.85
08/08/2022,1256.75
08/05/2022,1252.74
08/04/2022,1254.15
08/03/2022,1249.76
08/02/2022,1241.62
08/01/2022,1231.35
07/29/2022,1206.33
07/28/2022,1208.12
07/27/2022,1191.04
07/26/2022,1185.07
07/25/2022,1188.50
07/22/2022,1194.76
07/21/2022,1198.47
07/20/2022,1194.14
07/19/2022,1178.33
07/18/2022,1176.49
07/15/2022,1179.25
07/14/2022,1182.17
07/13/2022,1173.92
07/12/2022,1174.82
07/11/2022,1155.29
07/08/2022,1171.31
07/07/2022,1166.48
07/06/2022,1149.61
07/05/2022,1181.29
07/04/2022,1195.53
07/01/2022,1198.90
06/30/2022,1197.60
06/29/2022,1218.09
06/28/2022,1218.10
06/27/2022,1202.82
06/24/2022,1185.48
06/23/2022,1188.88
06/22/2022,1169.27
06/21/2022,1172.47
06/20/2022,1180.40
06/17/2022,1217.30
06/16/2022,1236.63
06/15/2022,1213.93
06/14/2022,1230.31
06/13/2022,1227.04
06/10/2022,1284.08
06/09/2022,1307.80
06/08/2022,1307.91
06/07/2022,1291.35
06/06/2022,1290.01
06/03/2022,1287.98
06/02/2022,1288.62
06/01/2022,1299.52
05/31/2022,1292.68
05/30/2022,1293.92
05/27/2022,1285.45
05/26/2022,1268.57
05/25/2022,1268.43
05/24/2022,1233.38
05/23/2022,1218.81
05/20/2022,1240.71
05/19/2022,1241.64
05/18/2022,1240.76
05/17/2022,1228.37
05/16/2022,1171.95
05/13/2022,1182.77
05/12/2022,1238.84
05/11/2022,1301.53
05/10/2022,1293.56
05/09/2022,1269.62
05/06/2022,1329.26
05/05/2022,1360.68
05/04/2022,1348.68
04/29/2022,1366.80
04/28/2022,1350.99
04/27/2022,1353.77
04/26/2022,1341.34
04/25/2022,1310.92
04/22/2022,1379.23
04/21/2022,1370.21
04/20/2022,1384.72
04/19/2022,1406.45
04/18/2022,1432.60
04/15/2022,1458.56
04/14/2022,1472.12
04/13/2022,1477.20
04/12/2022,1455.25
04/08/2022,1482.00
04/07/2022,1502.35
04/06/2022,1522.90
04/05/2022,1520.03
04/04/2022,1524.70
04/01/2022,1516.44
03/31/2022,1492.15
03/30/2022,1490.51
03/29/2022,1497.76
03/28/2022,1483.18
03/25/2022,1498.50
03/24/2022,1498.26
03/23/2022,1502.34
03/22/2022,1503.78
03/21/2022,1494.95
03/18/2022,1469.10
03/17/2022,1461.34
03/16/2022,1459.33
03/15/2022,1452.74
03/14/2022,1446.25
03/11/2022,1466.54
03/10/2022,1479.08
03/09/2022,1473.74
03/08/2022,1473.71
03/07/2022,1499.05
03/04/2022,1505.33
03/03/2022,1505.00
03/02/2022,1485.52
03/01/2022,1498.78
02/28/2022,1490.13
02/25/2022,1498.89
02/24/2022,1494.85
02/23/2022,1512.30
02/22/2022,1503.47
02/21/2022,1510.84
02/18/2022,1504.84
02/17/2022,1507.99
02/16/2022,1492.10
02/15/2022,1492.75
02/14/2022,1471.96
02/11/2022,1501.71
02/10/2022,1506.79
02/09/2022,1505.38
02/08/2022,1500.99
02/07/2022,1497.66
01/28/2022,1478.96
01/27/2022,1470.76
01/26/2022,1481.58
01/25/2022,1479.58
01/24/2022,1439.71
01/21/2022,1472.89
01/20/2022,1465.30
01/19/2022,1442.79
01/18/2022,1438.94
01/17/2022,1452.84
01/14/2022,1496.02
01/13/2022,1496.05
01/12/2022,1510.51
01/11/2022,1492.31
01/10/2022,1503.71
01/07/2022,1528.48
01/06/2022,1528.57
01/05/2022,1522.50
01/04/2022,1525.58
12/31/2021,1498.28
12/30/2021,1485.97
12/29/2021,1485.82
12/28/2021,1494.39
12/27/2021,1488.88
12/24/2021,1477.03
12/23/2021,1456.96
12/22/2021,1477.67
12/21/2021,1478.74
12/20/2021,1477.33
12/17/2021,1479.79
12/16/2021,1476.61
12/15/2021,1475.50
12/14/2021,1476.02
12/13/2021,1476.21
12/10/2021,1463.54
12/09/2021,1467.98
12/08/2021,1452.87
12/07/2021,1446.77
12/06/2021,1413.58
12/03/2021,1443.32
12/02/2021,1482.05
12/01/2021,1485.19
11/30/2021,1478.44
11/29/2021,1484.84
11/26/2021,1493.03
11/25/2021,1500.81
11/24/2021,1488.87
11/23/2021,1463.63
11/22/2021,1447.25
11/19/2021,1452.35
11/18/2021,1469.83
11/17/2021,1475.85
11/16/2021,1466.45
11/15/2021,1476.57
11/12/2021,1473.37
11/11/2021,1462.35
11/10/2021,1465.02
11/09/2021,1461.50
11/08/2021,1467.57
11/05/2021,1456.51
11/04/2021,1448.34
11/03/2021,1444.30
11/02/2021,1452.46
11/01/2021,1438.97
10/29/2021,1444.27
10/28/2021,1438.01
10/27/2021,1423.02
10/26/2021,1391.63
10/25/2021,1385.40
10/22/2021,1389.24
10/21/2021,1384.77
10/20/2021,1393.80
10/19/2021,1395.33
10/18/2021,1395.53
10/15/2021,1392.70
10/14/2021,1391.85
10/13/2021,1391.91
10/12/2021,1394.80
10/11/2021,1394.09
10/08/2021,1372.73
10/07/2021,1365.99
10/06/2021,1362.82
10/05/2021,1354.63
10/04/2021,1339.54
10/01/2021,1334.89
09/30/2021,1342.06
09/29/2021,1339.21
09/28/2021,1339.31
09/27/2021,1324.99
09/24/2021,1351.17
09/23/2021,1352.76
09/22/2021,1350.68
09/21/2021,1339.84
09/20/2021,1350.48
09/17/2021,1352.64
09/16/2021,1345.87
09/15/2021,1345.83
09/14/2021,1339.70
09/13/2021,1341.43
09/10/2021,1345.31
09/09/2021,1343.98
09/08/2021,1333.61
09/07/2021,1341.90
09/06/2021,1346.39
09/01/2021,1334.65
08/31/2021,1331.47
08/30/2021,1328.14
08/27/2021,1313.20
08/26/2021,1301.12
08/25/2021,1309.55
08/24/2021,1298.74
08/23/2021,1298.86
08/20/2021,1329.43
08/19/2021,1374.85
08/18/2021,1360.94
08/17/2021,1363.09
08/16/2021,1370.96
08/13/2021,1357.05
08/12/2021,1353.05
08/11/2021,1357.79
08/10/2021,1362.43
08/09/2021,1359.86
08/06/2021,1341.45
08/05/2021,1345.55
08/04/2021,1334.74
08/03/2021,1332.44
08/02/2021,1314.22
07/30/2021,1310.05
07/29/2021,1293.60
07/28/2021,1277.07
07/27/2021,1276.93
07/26/2021,1272.71
07/23/2021,1268.83
07/22/2021,1293.67
07/21/2021,1270.79
07/20/2021,1273.29
07/19/2021,1243.51
07/16/2021,1299.31
07/15/2021,1293.92
07/14/2021,1279.91
07/13/2021,1297.54
07/12/2021,1296.30
07/09/2021,1347.14
07/08/2021,1374.68
07/07/2021,1388.55
07/06/2021,1354.79
07/05/2021,1411.13
07/02/2021,1420.27
07/01/2021,1417.08
06/30/2021,1408.55
06/29/2021,1410.04
06/28/2021,1405.81
06/25/2021,1390.12
06/24/2021,1379.72
06/23/2021,1376.87
06/22/2021,1379.97
06/21/2021,1372.63
06/18/2021,1377.77
06/17/2021,1359.92
06/16/2021,1356.52
06/15/2021,1367.36
06/14/2021,1361.72
06/11/2021,1351.74
06/10/2021,1323.58
06/09/2021,1332.90
06/08/2021,1319.88
06/07/2021,1358.78
06/04/2021,1374.05
06/03/2021,1364.28
06/02/2021,1340.78
06/01/2021,1337.78
05/31/2021,1328.05
05/28/2021,1320.46
05/27/2021,1303.57
05/26/2021,1316.70
05/25/2021,1308.58
05/24/2021,1297.98
05/21/2021,1283.93
05/20/2021,1278.22
05/19/2021,1262.49
05/18/2021,1252.68
05/17/2021,1258.70
05/14/2021,1266.36
05/13/2021,1261.99
05/12/2021,1269.09
05/11/2021,1256.04
05/10/2021,1259.58
05/07/2021,1241.81
05/06/2021,1250.57
05/05/2021,1256.43
05/04/2021,1242.20
04/29/2021,1239.39
04/28/2021,1229.55
04/27/2021,1219.75
04/26/2021,1215.77
04/23/2021,1248.53
04/22/2021,1227.82
04/20/2021,1268.28
04/19/2021,1260.58
04/16/2021,1238.71
04/15/2021,1247.25
04/14/2021,1255.87
04/13/2021,1248.33
04/12/2021,1252.45
04/09/2021,1231.66
04/08/2021,1234.89
04/07/2021,1242.38
04/06/2021,1239.96
04/05/2021,1236.05
04/02/2021,1224.45
04/01/2021,1216.10
03/31/2021,1191.44
03/30/2021,1186.36
03/29/2021,1175.68
03/26/2021,1162.21
03/25/2021,1163.10
03/24/2021,1161.81
03/23/2021,1183.45
03/22/2021,1194.43
03/19/2021,1194.05
03/18/2021,1200.94
03/17/2021,1186.09
03/16/2021,1179.90
03/15/2021,1184.56
03/12/2021,1181.56
03/11/2021,1181.73
03/10/2021,1170.08
03/09/2021,1161.97
03/08/2021,1168.27
03/05/2021,1168.69
03/04/2021,1168.52
03/03/2021,1186.95
03/02/2021,1186.61
03/01/2021,1186.17
02/26/2021,1168.47
02/25/2021,1165.43
02/24/2021,1162.01
02/23/2021,1177.64
02/22/2021,1175.04
02/19/2021,1173.50
02/18/2021,1174.38
02/17/2021,1155.78
02/09/2021,1114.93
02/08/2021,1083.18
02/05/2021,1126.91
02/04/2021,1112.19
02/03/2021,1111.29
02/02/2021,1075.53
02/01/2021,1035.51
01/29/2021,1056.61
01/28/2021,1023.94
01/27/2021,1097.17
01/26/2021,1136.12
01/25/2021,1166.05
01/22/2021,1166.78
01/21/2021,1164.21
01/20/2021,1134.68
01/19/2021,1131.00
01/18/2021,1191.94
01/15/2021,1194.20
01/14/2021,1187.40
01/13/2021,1186.05
01/12/2021,1192.28
01/11/2021,1184.89
01/08/2021,1167.69
01/07/2021,1156.49
01/06/2021,1143.21
01/05/2021,1132.55
01/04/2021,1120.47
12/31/2020,1103.87
12/30/2020,1097.54
12/29/2020,1099.49
12/28/2020,1091.33
12/25/2020,1084.42
12/24/2020,1067.52
12/23/2020,1078.90
12/22/2020,1083.45
12/21/2020,1081.08
12/18/2020,1067.46
12/17/2020,1051.77
12/16/2020,1066.99
12/15/2020,1055.27
12/14/2020,1064.09
12/11/2020,1045.96
12/10/2020,1030.91
12/09/2020,1039.13
12/08/2020,1029.26
12/07/2020,1029.98
12/04/2020,1021.49
12/03/2020,1019.80
12/02/2020,1014.32
12/01/2020,1008.87
11/30/2020,1003.08
11/27/2020,1010.22
11/26/2020,1005.97
11/25/2020,999.94
11/24/2020,995.76
11/23/2020,994.19
11/20/2020,990.00
11/19/2020,983.26
11/18/2020,973.53
11/17/2020,968.90
11/16/2020,950.79
11/13/2020,966.29
11/12/2020,959.28
11/11/2020,952.22
11/10/2020,951.90
11/09/2020,951.99
11/06/2020,938.29
11/05/2020,937.75
11/04/2020,939.76
11/03/2020,935.41
11/02/2020,933.68
10/30/2020,925.47
10/29/2020,919.08
10/28/2020,921.05
10/27/2020,946.47
10/26/2020,950.80
10/23/2020,961.26
10/22/2020,949.90
10/21/2020,939.03
10/20/2020,944.42
10/19/2020,943.69
10/16/2020,943.30
10/15/2020,942.76
10/14/2020,940.18
10/13/2020,929.86
10/12/2020,925.83
10/09/2020,924.00
10/08/2020,918.84
10/07/2020,919.72
10/06/2020,915.67
10/05/2020,914.68
10/02/2020,909.91
10/01/2020,914.09
09/30/2020,905.21
09/29/2020,903.98
09/28/2020,912.50
09/25/2020,908.27
09/24/2020,908.58
09/23/2020,912.50
09/22/2020,906.19
09/21/2020,907.94
09/18/2020,900.95
09/17/2020,894.04
09/16/2020,897.47
09/15/2020,896.26
09/14/2020,894.57
09/11/2020,888.97
09/10/2020,888.82
09/09/2020,889.32
09/08/2020,890.14
09/07/2020,888.25
09/04/2020,901.54
09/03/2020,903.97
09/01/2020,891.73
08/31/2020,881.65
08/28/2020,878.98
08/27/2020,874.71
08/26/2020,873.47
08/25/2020,874.12
08/24/2020,868.68
08/21/2020,854.78
08/20/2020,848.21
08/19/2020,851.21
08/18/2020,846.43
08/17/2020,850.15
08/14/2020,850.74
08/13/2020,855.05
08/12/2020,846.92
08/11/2020,843.08
08/10/2020,843.20
08/07/2020,841.46
08/06/2020,840.04
08/05/2020,837.80
08/04/2020,827.57
08/03/2020,814.65
07/31/2020,798.39
07/30/2020,801.13
07/29/2020,790.84
07/28/2020,813.36
07/27/2020,785.17
07/24/2020,829.16
07/23/2020,856.75
07/22/2020,855.08
07/21/2020,861.69
07/20/2020,861.40
07/17/2020,872.02
07/16/2020,876.83
07/15/2020,869.91
07/14/2020,868.11
07/13/2020,868.72
07/10/2020,871.21
07/09/2020,876.46
07/08/2020,864.50
07/07/2020,863.42
07/06/2020,861.16
07/03/2020,847.61
07/02/2020,842.38
07/01/2020,843.49
06/30/2020,825.11
06/29/2020,829.36
06/26/2020,851.98
06/25/2020,854.59
06/24/2020,859.71
06/23/2020,868.20
06/22/2020,871.28
06/19/2020,868.56
06/18/2020,855.27
06/17/2020,854.44
06/16/2020,856.13
06/15/2020,832.47
06/12/2020,863.52
06/11/2020,867.37
06/10/2020,900.00
06/09/2020,899.43
06/08/2020,899.92
06/05/2020,886.22
06/04/2020,883.90
06/03/2020,881.17
06/02/2020,874.80
06/01/2020,878.67
05/29/2020,864.47
05/28/2020,861.39
05/27/2020,857.48
05/26/2020,869.13
05/25/2020,859.04
05/22/2020,852.74
05/21/2020,862.73
05/20/2020,852.91
05/19/2020,845.92
05/18/2020,837.01
05/15/2020,827.03
05/14/2020,832.40
05/13/2020,834.21
05/12/2020,835.32
05/11/2020,828.33
